Date,Open,High,Low,Close,Volume
2025-03-14,105.54,106.42,105.32,105.37,1047651
2025-03-15,105.41,105.68,104.85,105.46,1008156
2025-03-16,105.48,105.69,104.86,105.12,1440460
2025-03-17,105.13,105.74,104.5,105.35,991377
2025-03-18,105.26,105.91,104.98,105.28,1378412
2025-03-19,105.32,105.58,105.02,105.29,1021920
2025-03-20,105.24,105.39,104.89,105.74,1241854
2025-03-21,105.83,106.35,105.49,105.87,700324
2025-03-22,105.82,106.23,105.33,106.08,1071990
2025-03-23,106.07,106.26,105.67,106.51,1336819
2025-03-24,106.44,106.58,106.0,106.7,968150
2025-03-25,106.77,107.41,106.13,106.56,859303
2025-03-26,106.45,106.76,106.05,106.94,758262
2025-03-27,106.92,107.48,106.75,107.19,1095501
2025-03-28,107.14,107.75,107.13,107.49,1316036
2025-03-29,107.41,107.86,107.26,107.97,1114366
2025-03-30,107.88,108.19,107.14,108.02,1341133
2025-03-31,108.06,108.91,107.51,108.5,1413140
2025-04-01,108.52,109.15,108.06,108.87,1138297
2025-04-02,108.96,109.61,108.46,108.75,897791
2025-04-03,108.78,109.44,108.29,108.95,919677
2025-04-04,108.85,109.19,108.62,108.88,1132121
2025-04-05,108.8,109.08,108.19,109.14,751383
2025-04-06,109.12,109.62,108.76,108.97,1036114
2025-04-07,109.06,109.57,108.37,109.37,1312475
2025-04-08,109.35,109.38,109.04,109.68,1382758
2025-04-09,109.78,110.15,109.03,109.81,1182602
2025-04-10,109.75,110.0,109.37,109.48,968903
2025-04-11,109.52,109.88,109.34,109.54,802102
2025-04-12,109.57,109.59,109.2,109.69,721681
2025-04-13,109.72,109.84,109.28,109.38,1003283
2025-04-14,109.32,109.67,108.65,109.36,1301607
2025-04-15,109.43,109.65,109.29,109.03,1131535
2025-04-16,109.14,109.44,108.46,109.36,1221403
2025-04-17,109.42,110.25,109.19,109.03,821905
2025-04-18,108.95,109.61,108.46,108.87,1259571
2025-04-19,108.93,109.07,108.34,109.17,791626
2025-04-20,109.24,110.09,109.08,108.85,949565
2025-04-21,108.88,109.72,108.5,109.12,760797
2025-04-22,109.16,109.71,109.03,109.45,1380234
2025-04-23,109.47,109.57,108.58,109.78,977763
2025-04-24,109.76,110.11,109.32,109.73,1379660
2025-04-25,109.8,109.89,108.89,109.94,1362965
2025-04-26,109.98,110.36,109.29,110.43,916065
2025-04-27,110.5,110.98,110.01,110.46,1284820
2025-04-28,110.41,111.22,109.68,110.19,1405304
2025-04-29,110.13,110.6,109.59,110.17,722959
2025-04-30,110.25,110.41,109.98,110.52,972271
2025-05-01,110.6,111.22,110.28,110.18,1458450
2025-05-02,110.08,110.81,109.65,110.49,1252487
2025-05-03,110.52,110.96,109.79,110.22,877277
2025-05-04,110.26,110.53,109.71,110.28,1124737
2025-05-05,110.27,110.94,109.98,110.55,916733
2025-05-06,110.5,110.66,110.33,110.3,1128691
2025-05-07,110.36,110.52,110.11,110.38,1279668
2025-05-08,110.48,110.95,110.13,110.11,855294
2025-05-09,110.05,110.27,110.04,110.23,919449
2025-05-10,110.34,110.82,109.62,109.99,1394768
2025-05-11,109.99,110.76,109.48,110.05,1052375
2025-05-12,109.98,110.1,109.15,110.12,1357692
2025-05-13,110.1,110.18,109.54,109.81,819358
2025-05-14,109.83,110.09,108.94,109.57,1311554
2025-05-15,109.59,110.28,109.37,109.67,1060411
2025-05-16,109.66,110.43,108.79,109.59,1196821
2025-05-17,109.62,110.26,108.76,109.42,868820
2025-05-18,109.46,109.6,109.27,109.14,702140
2025-05-19,109.13,109.66,108.87,108.99,1265564
2025-05-20,109.04,109.43,108.39,109.45,1330262
2025-05-21,109.48,110.05,108.63,109.47,1135649
2025-05-22,109.5,110.3,108.75,109.18,832738
2025-05-23,109.14,109.84,108.64,109.08,799482
2025-05-24,109.13,109.74,108.26,109.17,1095036
2025-05-25,109.08,109.21,108.7,109.1,900294
2025-05-26,109.02,109.94,108.29,109.26,1460629
2025-05-27,109.37,109.96,109.02,108.94,1305015
2025-05-28,108.94,109.51,108.14,108.75,1168263
2025-05-29,108.78,109.21,108.67,108.71,966646
2025-05-30,108.74,109.49,108.42,108.96,930574
2025-05-31,109.06,109.77,108.48,109.01,951613
2025-06-01,108.97,109.86,108.62,109.11,1490495
2025-06-02,109.15,109.62,108.75,108.93,989423
2025-06-03,108.98,109.53,108.26,108.75,1139375
2025-06-04,108.85,109.23,108.15,108.51,1478517
2025-06-05,108.54,108.74,108.37,108.64,1141801
2025-06-06,108.55,109.51,107.76,108.7,793972
2025-06-07,108.77,109.2,108.07,108.79,918739
2025-06-08,108.86,109.72,108.58,108.92,1006868
2025-06-09,109.01,109.46,108.16,109.33,920997
2025-06-10,109.39,109.75,108.51,109.42,1356439
2025-06-11,109.37,109.68,108.86,109.95,1091712
2025-06-12,109.87,110.42,109.56,110.08,1134744
2025-06-13,110.07,110.36,109.9,110.34,1157438
2025-06-14,110.28,111.03,110.24,110.65,1264182
2025-06-15,110.71,111.06,110.06,111.02,1484654
2025-06-16,111.02,111.05,110.57,111.19,1395760
2025-06-17,111.27,111.66,110.72,111.24,1277955
2025-06-18,111.22,111.82,111.08,111.3,1475362
2025-06-19,111.26,111.92,110.68,111.7,1381873
2025-06-20,111.78,112.12,111.42,111.99,1307521
2025-06-21,112.07,112.1,111.92,112.19,1436743
2025-06-22,112.3,112.98,111.8,111.92,1206998
2025-06-23,112.01,112.4,111.3,112.37,736792
2025-06-24,112.44,112.7,112.04,112.14,1124933
2025-06-25,112.16,112.87,111.99,111.86,1396671
2025-06-26,111.88,112.1,111.04,111.63,1068919
2025-06-27,111.57,111.85,111.56,111.99,1420967
2025-06-28,112.03,112.17,111.59,111.94,1170057
2025-06-29,111.97,112.35,111.72,112.34,859373
2025-06-30,112.31,112.77,112.1,112.49,1159849
